"Not if it were my own brother!" cried d’Artagnan, as if carried away by his enthusiasm.	«Non, fût-ce mon frère!» s'écria d'Artagnan comme emporté par l'enthousiasme.
La pensée du privilège avait desséché cette plante toujours si délicate qu’on nomme le bonheur.	The thought of privilege had withered that plant, always so delicate, which we name happiness.
Noonday alone had arrived on time.	Midi seul était arrivé à l’heure.
"More or less."	--A peu près.
She had shown this more than once in Quasimodo's presence.	Elle l’avait témoigné plus d’une fois devant Quasimodo.
Un seul espoir lui restait encore, l’arrivée du jeune chasseur de la Nevada.	He had but one hope in life now, and that was for the arrival of the young hunter from Nevada.
He did not express to himself so clearly the rest of his comment; was he ashamed of the futility of his motives?	Il ne s’exprima pas aussi nettement le reste de sa réponse ; avait-il honte de la futilité des motifs ?
"It is all that we have, Captain Harding."	«C'est tout ce que nous avons, monsieur Cyrus.
"You are the only one," resumed Gringoire, "who has listened to the piece decorously.	– Vous êtes le seul, reprit Gringoire, qui ayez convenablement écouté la pièce.
"The history of a few months only of my life!" interrupted the captain impetuously.	-- Mon histoire de quelques mois seulement, monsieur! répondit vivement le capitaine.
They grew excited to the pitch of fury, until one felt like murdering the other. Then ensued atrocious scenes of choking, blows, abominable cries, shameless brutalities.	C'étaient des scènes atroces, des étouffements, des coups, des cris ignobles, des brutalités honteuses.
When the report was completed, Laurent experienced lively joy, which penetrated his being like new life.	Quand le procès-verbal fut achevé, Laurent sentit une joie chaude qui pénétra sa chair d'une vie nouvelle.
Passepartout hewed, cut, and sawed away with all his might.	L'équipage y mettait un zèle incroyable. Passepartout, taillant, coupant, sciant, faisait l'ouvrage de dix hommes.
A ce moment, la cantinière aperçut les quatre soldats dont nous venons de parler, ils débouchaient du bois dans la plaine à gauche de la route.	At this moment, the cantinière caught sight of the four soldiers whom we mentioned a little way back; they were coming out of the wood on to the plain to the left of the road.
Tous ces hommes venaient de prospecter dans les monts Nevada a la recherche de mines d’argent et ils arrivaient a Salt Lake City, espérant y trouver les capitaux nécessaires pour exploiter les filons découverts. — Jusqu’alors Jefferson s’était montré aussi ardent au gain que les autres, mais cet incident inattendu allait changer le cours de ses idées.	He and they had been among the Nevada Mountains prospecting for silver, and were returning to Salt Lake City in the hope of raising capital enough to work some lodes which they had discovered. He had been as keen as any of them upon the business until this sudden incident had drawn his thoughts into another channel.
She kissed me, and I her, and we both soon slumbered.	Elle m'embrassa, je l'embrassai, et toutes deux nous nous endormîmes.
Moreover, since the nocturnal adventure in the cell, he had constantly abused Quasimodo, but in vain did he ill treat, and even beat him occasionally, nothing disturbed the submission, patience, the devoted resignation of the faithful bellringer.	Du reste, depuis l’aventure nocturne de la cellule, il maltraitait constamment Quasimodo ; mais il avait beau le rudoyer, le frapper même quelquefois, rien n’ébranlait la soumission, la patience, la résignation dévouée du fidèle sonneur.
It was only on May 1 that the Nautilus openly resumed its northbound course, after raising the Bahamas at the mouth of Old Bahama Channel.	Ce fut le 1er mai seulement que le _Nautilus_ reprit franchement sa route au nord, après avoir eu connaissance des Lucayes à l'ouvert du canal de Bahama.
All night the wretched beast dragged himself along the gutter mewing hoarsely, while Madame Raquin wept over him almost as much as she had done over Camille.	Pendant toute la nuit, la misérable bête se traîna le long de la gouttière, l'échine brisée, en poussant des miaulements rauques.
After a considerable lapse of time our speed redoubled.	Après un laps de temps assez long, la vitesse de notre course redoubla.
"What must I get?"	--Que faut-il prendre?
How should I know--There is nothing left for me to do,now that I am alone."	La retenant, il ne trouvait qu'un motà lui répéter:
A very long silence succeeded. What struggle there was in him between Nature and Grace in this interval, I cannot tell: only singular gleams scintillated in his eyes, and strange shadows passed over his face.	Il y eut un long silence; je ne sais quelle lutte se passa en lui entre la nature et la grâce; mais ses yeux brillaient d'un éclat singulier, et des ombres étranges passaient sur sa figure.
The gypsy paid no heed to him.	L’égyptienne ne faisait aucune attention à lui.
And she threw the two links away from her, their gold chain breaking as it struck against the wall.	Et elle lança bien loin les deux boutons, dont la chaîne d’or se rompit en cognant contre la muraille.
But even in this case I have only to make the greater haste.	Eh bien! même dans ce cas, en me hâtant, je les retrouverai.
But suddenly Zacharie became angry, for he discovered that a nail-maker, who had come in with his mates out of curiosity, was pinching his sister's thigh. She blushed and tried to make him be silent, trembling at the idea that all these nail-makers would throw themselves on Chaval and kill him if he objected to her being pinched.	Mais, brusquement, Zacharie se fâcha, en surprenant un cloutier, venu par curiosité avec les camarades, qui pinçait les cuisses de sa soeur; et elle, tres rouge, le faisait taire, tremblante a l'idée d'une tuerie, de tous ces cloutiers se jetant sur Chaval, s'il ne voulait pas qu'on la pinçât.
But we had to keep walking, and we went forward while overhead there scudded schools of Portuguese men-of-war that let their ultramarine tentacles drift in their wakes, medusas whose milky white or dainty pink parasols were festooned with azure tassels and shaded us from the sun's rays, plus jellyfish of the species Pelagia panopyra that, in the dark, would have strewn our path with phosphorescent glimmers!	Mais il fallait marcher, et nous allions en avant, pendant que voguaient au-dessus de nos têtes des troupes de physalies, laissant leurs tentacules d'outre-mer flotter à la traîne, des méduses dont l'ombrelle opaline ou rose tendre, festonnée d'un liston d'azur, nous abritait des rayons solaires, et des pélagies panopyres, qui, dans l'obscurité, eussent semé notre chemin de lueurs phosphorescentes !
"The devil! You have been to London!	-- Diable! vous avez été à Londres.
It will break all right enough, sir."	Il n’y aura bientôt plus un nuage. »
To this Athos replied quietly: "We also have money left--for I have not yet drunk all my share of the diamond, and Porthos and Aramis have not eaten all theirs.	«Nous aussi, nous avons de l'argent; car je n'ai pas encore bu tout à fait le reste du diamant, et Porthos et Aramis ne l'ont pas tout à fait mangé.
This extraordinary assembly continued sitting till four in the morning.	La séance dura jusqu'à quatre heures du matin.
Nothing was known of his early life, and all sorts oflegends had been current among the indoor and outdoor patientsand afterward among his neighbours.	On ne savait rien de sa vie passée;aussi des légendes avaient-elles couru parmi les internes, les externes,et plus tard parmi les voisins.
In another moment I was within that apartment.	Une minute après, j'étais entrée.
